iter	Passed	Remaining
425	1979	2667
426	1984	2662
427	1988	2656
428	1992	2651
429	1996	2646
430	2000	2641
431	2005	2636
432	2008	2630
433	2013	2625
434	2017	2620
435	2021	2615
436	2025	2609
437	2030	2605
438	2034	2599
439	2038	2594
440	2043	2590
441	2048	2585
442	2052	2580
443	2056	2575
444	2061	2570
445	2065	2565
446	2069	2560
447	2074	2555
448	2078	2551
449	2082	2545
450	2087	2540
451	2091	2535
452	2096	2531
453	2100	2525
454	2104	2520
455	2109	2516
456	2113	2510
457	2117	2505
458	2121	2500
459	2125	2495
460	2129	2489
461	2133	2484
462	2137	2478
463	2141	2474
464	2146	2469
465	2150	2463
466	2154	2458
467	2159	2454
468	2163	2449
469	2167	2443
470	2171	2438
471	2176	2434
472	2180	2429
473	2184	2424
474	2189	2419
475	2193	2414
476	2197	2409
477	2201	2404
478	2206	2400
479	2211	2395
480	2215	2390
481	2219	2385
482	2224	2381
483	2228	2375
484	2232	2370
485	2237	2366
486	2241	2361
487	2246	2356
488	2250	2351
489	2255	2347
490	2259	2342
491	2263	2337
492	2268	2332
493	2272	2327
494	2276	2322
495	2280	2317
496	2285	2313
497	2290	2308
498	2294	2303
499	2298	2298
500	2302	2293
501	2307	2288
502	2311	2283
503	2315	2278
504	2320	2274
505	2324	2269
506	2328	2264
507	2333	2260
508	2338	2255
509	2342	2250
510	2346	2245
511	2351	2240
512	2355	2235
513	2359	2231
514	2363	2226
515	2368	2221
516	2372	2216
517	2375	2210
518	2379	2205
519	2384	2201
520	2388	2196
521	2392	2191
522	2397	2186
523	2401	2181
524	2405	2176
525	2410	2171
526	2415	2167
527	2420	2163
528	2424	2158
529	2429	2154
530	2434	2150
531	2439	2146
532	2444	2142
533	2449	2137
534	2454	2133
535	2459	2129
536	2464	2125
537	2469	2120
538	2474	2116
539	2479	2112
540	2484	2107
541	2489	2103
542	2494	2099
543	2498	2094
544	2503	2090
545	2508	2085
546	2513	2081
547	2518	2077
548	2522	2072
549	2527	2068
550	2532	2063
551	2537	2059
552	2541	2054
553	2546	2050
554	2551	2045
555	2555	2041
556	2561	2037
557	2567	2033
558	2573	2030
559	2579	2026
560	2584	2022
561	2589	2018
562	2595	2014
563	2600	2009
564	2605	2005
565	2609	2001
566	2614	1996
567	2618	1991
568	2623	1986
569	2627	1982
570	2631	1976
571	2634	1971
572	2638	1966
573	2643	1962
574	2647	1956
575	2651	1951
576	2655	1946
577	2660	1942
578	2664	1937
579	2668	1932
580	2673	1928
581	2678	1923
582	2682	1918
583	2686	1913
584	2691	1909
585	2695	1904
586	2699	1899
587	2704	1894
588	2708	1890
589	2712	1884
590	2716	1879
591	2720	1874
592	2724	1870
593	2728	1865
594	2732	1860
595	2737	1855
596	2741	1850
597	2745	1845
598	2749	1840
599	2753	1835
600	2757	1830
601	2761	1825
602	2765	1820
603	2769	1815
604	2774	1811
605	2778	1806
606	2782	1801
607	2786	1796
608	2790	1791
609	2794	1786
610	2798	1781
611	2802	1776
612	2806	1771
613	2810	1767
614	2814	1762
615	2818	1757
616	2823	1752
617	2827	1747
618	2831	1742
619	2835	1737
620	2839	1733
621	2843	1728
622	2847	1723
623	2852	1718
624	2856	1713
625	2859	1708
626	2864	1703
627	2868	1698
628	2872	1694
629	2876	1689
630	2881	1684
631	2885	1679
632	2889	1675
633	2892	1670
634	2897	1665
635	2902	1660
636	2906	1656
637	2910	1651
638	2915	1646
639	2919	1642
640	2923	1637
641	2927	1632
642	2932	1627
643	2935	1622
644	2939	1617
645	2943	1613
646	2948	1608
647	2952	1603
648	2955	1598
649	2959	1593
650	2963	1588
651	2967	1583
652	2971	1578
653	2975	1574
654	2980	1569
655	2984	1564
656	2988	1560
657	2992	1555
658	2996	1550
659	2999	1545
660	3003	1540
661	3008	1536
662	3012	1531
663	3016	1526
664	3020	1521
665	3025	1517
666	3029	1512
667	3033	1507
668	3037	1502
669	3041	1498
670	3045	1493
671	3049	1488
672	3053	1483
